id,name,neighbourhood_group,neighbourhood,price,number_of_reviews
117165,Suite+Office in Gorgeous View Home,West Seattle,Alki,110,118
119103,Teeny Tiny Guestyhouse!,Other neighborhoods,Fremont,79,320
132120,Mother-in-Law Apartment in Seattle,Other neighborhoods,Wallingford,110,78
132160,"Green Lake Guest Suite, private apt",Other neighborhoods,Green Lake,150,212
134091,Vintage Capitol Hill - 1 Pkg Spot,Capitol Hill,Broadway,170,121
136480,Bright Cheery Room in Seattle House,Seward Park,Seward Park,65,51
138666,Main floor of comfy craftsman home,Central Area,Leschi,125,72
140331,Metrobilly Retreat,Central Area,Harrison/Denny-Blaine,75,130
143580,N. Beacon Hill- Super Private Room,Beacon Hill,North Beacon Hill,89,311
143704,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",Central Area,Mann,92,303
151545,Charming 2BR/2B with WaterViews on Portage Bay!,Capitol Hill,Portage Bay,180,11
153967,Cottage in West Seattle,West Seattle,Fairmount Park,9300,64
158345,Restful Room in W. Ballard-NO cleaning fee!,Ballard,Sunset Hill,55,374
160222,Apt on Lake Union $99/night in Heart of City,Queen Anne,East Queen Anne,110,83
170273,4BR Historic Home at Seattle Center,Queen Anne,Lower Queen Anne,650,166
170469,Private Bed & Bath in Ballard,Ballard,Whittier Heights,80,68
173896,Cozy in Ballard: Detached Bedroom en Suite,Ballard,Sunset Hill,75,234
174636,"2 Rooms available, view of the lake",Rainier Valley,Rainier Beach,88,36
175576,Private Apartment - Queen Anne Hill,Queen Anne,West Queen Anne,105,256
181891,Ballard Gem!,Ballard,Adams,275,0
182716,Cute House - 1 mile from UW; blocks to Greenlake,Other neighborhoods,Wallingford,125,105
186328,"Beautiful Update Craftsman 3BR, 3BA",Queen Anne,North Queen Anne,250,1
189156,Sweet Studio -Water & Mountain view,West Seattle,Seaview,69,222
190984,Home in Hillman City - large studio & free parking,Rainier Valley,Columbia City,80,126
192666,"Classy,Private, Comfy! W Seattle-A Place To Relax!",West Seattle,North Admiral,59,59
193836,Spacious Studio Near Lincoln Park in West Seattle,West Seattle,Gatewood,89,136
201634,Blocks from LakeUnion/Downtown View,Cascade,Eastlake,125,71
202251,Seattle Phinney Ridge Ballard,Other neighborhoods,Phinney Ridge,275,20
202260,Cozy Seattle Apartment Near UW & Children's,Other neighborhoods,View Ridge,99,143
208356,contemporary art loft downtown [7],Downtown,International District,99,689
208670,2BR/1BA Quiet Capitol Hill Bungalow w/Loft,Capitol Hill,Broadway,212,131
210316,"""THE 5-STAR HOUSE""",Other neighborhoods,Crown Hill,80,59
215882,Relaxing Garden Cottage w/ Hot Tub!,Rainier Valley,Columbia City,84,308
217142,LOCATION! Family SPACIOUS 2BD/2BA PRKG FREE WiFi,Downtown,Belltown,200,117
218741,"Private, Large Room+Bath in Ballard",Ballard,Loyal Heights,90,130
219532,"Fun home in Funky Fremont, Seattle",Other neighborhoods,Fremont,285,63
222885,Gluten Free on Phinney Ridge,Other neighborhoods,Phinney Ridge,75,28
224763,"Location! Sleeps 4 WiFi  Luxurious, Parking Inc!",Downtown,Belltown,149,72
225820,Family Friendly on Phinney Ridge,Other neighborhoods,Phinney Ridge,90,69
226495,"Fun apartment in Ballard, Seattle",Ballard,Whittier Heights,170,72
226536,Serene Room in Sunny Cottage near Discovery Park,Magnolia,Lawton Park,46,116
226677,Sunny Parisian beauty room w/ comfy bed,Other neighborhoods,Georgetown,55,101
